@relation errorPredict

@attribute sequenceLength real
@attribute NumberOfConsecOccurPolar real
@attribute NumberOfConsecOccurHydro real
@attribute NumberOfConsecOccurCharged real
@attribute MGYM real
@attribute MQ[NH]W real
@attribute WC[IS]Y real
@attribute WHC real
@attribute WW real
@attribute C[HS]CC real
@attribute CTHC real
@attribute WG[PS]W real
@attribute WN[IM]F real
@attribute PPPP real
@attribute GGG real
@attribute hydrophobic real 
@attribute charged real
@attribute polar real
@attribute errorPercent real

@data
17,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.353,0.177,0.471,0.128858
19,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.264,0.264,0.317,0.172148
22,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.363,0.181,0.362,0.142495
20,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0.300,0.250,0.350,0.133979
22,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0.453,0.180,0.362,0.143079
14,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.213,0.357,0.356,0.199302
14,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0.498,0.213,0.214,0.127857
20,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0.300,0.300,0.400,0.126716
23,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.564,0.130,0.259,0.126239
33,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.394,0.242,0.364,0.127617
